model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M24,6ch,7,15,0.313373253493014,0.3125766825488635,0.3154929577464789,0.3147626463024558
M21,62ch,21,1,0.3345309381237525,0.311978981324294,0.36861167002012074,0.35248655367936027
M21,6ch,21,1,0.4658682634730539,0.4489714373216352,0.47364185110663987,0.4420982307681034
M23,62ch,21,1,0.2954091816367265,0.2814210794326885,0.2973843058350101,0.28421589269103475
M23,6ch,21,1,0.3900199600798403,0.35277987426145246,0.38832997987927564,0.3528241885090046
M24,62ch,21,1,0.29820359281437125,0.27693790160704834,0.29979879275653926,0.2786248028072367
M24,6ch,21,1,0.3712574850299401,0.3416256501803404,0.38269617706237424,0.3559526868636202
M21,62ch,21,2,0.412375249500998,0.4119038134828207,0.44386317907444667,0.43784332613925636
M21,6ch,21,2,0.47944111776447107,0.47749755440789743,0.45472837022132795,0.41866227992817573
M23,62ch,21,2,0.33053892215568864,0.3100244006432946,0.34849094567404426,0.3317226466394828
M23,6ch,21,2,0.2846307385229541,0.2737526513877059,0.2744466800804829,0.2656270797508883
M24,62ch,21,2,0.4750499001996008,0.47242209272912467,0.47565392354124747,0.4745684760114704
M24,6ch,21,2,0.38083832335329343,0.37375903615394346,0.39235412474849096,0.3849880953373477
M21,62ch,21,3,0.3720558882235529,0.36891926466810665,0.37706237424547284,0.36962898414021805
M21,6ch,21,3,0.38203592814371257,0.34434704494103907,0.43259557344064387,0.36692805938736694
M23,62ch,21,3,0.32335329341317365,0.2899396652379419,0.33118712273641854,0.3007716315130237
M23,6ch,21,3,0.3596806387225549,0.32566877452248777,0.36539235412474846,0.3335883552103875
M24,62ch,21,3,0.3249500998003992,0.2737105954507165,0.3299798792756539,0.28806153127444184
M24,6ch,21,3,0.34810379241516964,0.30883540700998136,0.36257545271629776,0.3213667659187627
M21,62ch,21,4,0.4303393213572854,0.4217383343680248,0.4289738430583501,0.422270348522785
M21,6ch,21,4,0.5241516966067864,0.5059116460990747,0.4881287726358149,0.46517173327079575
M23,62ch,21,4,0.40479041916167663,0.3841699258130549,0.4044265593561368,0.3829650867789181
M23,6ch,21,4,0.4878243512974052,0.48592978596305014,0.489738430583501,0.4878898428003164
M24,62ch,21,4,0.46986027944111775,0.4413928997248473,0.4740442655935614,0.4480217118113639
M24,6ch,21,4,0.40479041916167663,0.3803434493501933,0.4096579476861167,0.38833324287473187
M21,62ch,21,5,0.3121756487025948,0.3130598754920859,0.35130784708249496,0.3092620712974259
M21,6ch,21,5,0.45269461077844314,0.40960152579232334,0.4309859154929577,0.36384771208671757
M23,62ch,21,5,0.3129740518962076,0.2556416136979123,0.3154929577464789,0.25828111868882253
M23,6ch,21,5,0.36127744510978044,0.25207567739496556,0.37142857142857144,0.2720298037944384
M24,62ch,21,5,0.4614770459081836,0.3753484550380102,0.4941649899396378,0.4217623721661296
M24,6ch,21,5,0.4251497005988024,0.36194779751623163,0.4277665995975855,0.3640902886638454
M21,62ch,21,6,0.26147704590818366,0.2406416279487762,0.2824949698189135,0.25281891233484227
M21,6ch,21,6,0.3093812375249501,0.30703388680346544,0.30503018108651914,0.2724342209676642
M23,62ch,21,6,0.18483033932135728,0.1824361702874465,0.17464788732394365,0.17353752327400573
M23,6ch,21,6,0.330938123752495,0.3515251141695659,0.32877263581488936,0.348728782880329
M24,62ch,21,6,0.293812375249501,0.30810822736331167,0.35090543259557344,0.3675729756233427
M24,6ch,21,6,0.3968063872255489,0.3991503013710994,0.3561368209255533,0.38416217463197155
M21,62ch,21,7,0.5884231536926148,0.5689608731284275,0.6032193158953723,0.5877159399951533
M21,6ch,21,7,0.5624750499001996,0.5447585146360503,0.5593561368209256,0.5414816709532736
M23,62ch,21,7,0.5141716566866268,0.5192505997109444,0.5171026156941649,0.5212154098562627
M23,6ch,21,7,0.45788423153692615,0.4514820295331811,0.4619718309859155,0.45712446667477025
M24,62ch,21,7,0.5528942115768463,0.563582962282931,0.5766599597585513,0.5802876076975481
M24,6ch,21,7,0.5193612774451097,0.49918818952415545,0.537625754527163,0.5051565703759471
M21,62ch,21,8,0.5249500998003992,0.5134813687299005,0.6004024144869216,0.5835500522668211
M21,6ch,21,8,0.40199600798403196,0.3847010669250101,0.42374245472837024,0.4006002878601914
M23,62ch,21,8,0.3568862275449102,0.33013815050643897,0.36780684104627764,0.3389544408621765
M23,6ch,21,8,0.3261477045908184,0.3013636803057107,0.3255533199195171,0.3005916386206507
M24,62ch,21,8,0.4251497005988024,0.42137558968471556,0.4225352112676056,0.41930507859576854
M24,6ch,21,8,0.3536926147704591,0.34878935795436583,0.35694164989939636,0.3510319663399458
M21,62ch,21,9,0.3724550898203593,0.3597254587216553,0.4189134808853119,0.4249703111386899
M21,6ch,21,9,0.5037924151696607,0.49325650834371076,0.5062374245472837,0.4912769091727841
M23,62ch,21,9,0.28502994011976046,0.27760547384702816,0.2837022132796781,0.27677409638087397
M23,6ch,21,9,0.3724550898203593,0.3798212891603191,0.3778672032193159,0.3852773316010669
M24,62ch,21,9,0.3520958083832335,0.3638230366759396,0.39678068410462775,0.4102178801787917
M24,6ch,21,9,0.3013972055888224,0.28334103253987913,0.3010060362173038,0.2838476609353619
M21,62ch,21,10,0.4163672654690619,0.41394368305054297,0.4301810865191147,0.4295407405853222
M21,6ch,21,10,0.42674650698602795,0.42368384923197727,0.5380281690140845,0.5302732013547105
M23,62ch,21,10,0.3712574850299401,0.3673150143611575,0.386317907444668,0.38442106099080653
M23,6ch,21,10,0.37405189620758483,0.35892821244026557,0.36901408450704226,0.3557289726476217
M24,62ch,21,10,0.34211576846307384,0.31713637464185657,0.3408450704225352,0.3164589489611695
M24,6ch,21,10,0.40119760479041916,0.3786226314297407,0.386317907444668,0.36323091104260913
M21,62ch,21,11,0.42594810379241516,0.39531338060919663,0.46036217303822935,0.438242402636806
M21,6ch,21,11,0.4111776447105788,0.36971688338632164,0.3959758551307847,0.3492834761255083
M23,62ch,21,11,0.27025948103792413,0.24947877140729396,0.2740442655935614,0.25375027835935393
M23,6ch,21,11,0.4239520958083832,0.40809853064728957,0.42293762575452715,0.40872483496202894
M24,62ch,21,11,0.35768463073852297,0.3282024770097899,0.3460764587525151,0.3155960663496125
M24,6ch,21,11,0.39201596806387223,0.37277239901235737,0.39798792756539236,0.3783762461283538
M21,62ch,21,12,0.47065868263473054,0.4735093040576056,0.4744466800804829,0.4771616920711737
M21,6ch,21,12,0.3157684630738523,0.29500778137039707,0.3002012072434608,0.27913779474245537
M23,62ch,21,12,0.3688622754491018,0.36696829508689544,0.36498993963782694,0.3652879942706163
M23,6ch,21,12,0.30419161676646705,0.3028212935913446,0.3030181086519115,0.30162680103736694
M24,62ch,21,12,0.325748502994012,0.311870547282841,0.3412474849094567,0.3303301019612674
M24,6ch,21,12,0.25788423153692613,0.23686451550750245,0.28772635814889336,0.2575470463486987
M21,62ch,21,13,0.34171656686626745,0.30304152742133117,0.4044265593561368,0.390988289291086
M21,6ch,21,13,0.35808383233532937,0.3257823709855098,0.40080482897384306,0.37499236947953235
M23,62ch,21,13,0.21596806387225548,0.21764633369675637,0.21891348088531187,0.22028193409202557
M23,6ch,21,13,0.22554890219560877,0.2074809969081378,0.21488933601609658,0.19574629752927541
M24,62ch,21,13,0.2878243512974052,0.2654003899956846,0.33601609657947684,0.30168488257270154
M24,6ch,21,13,0.24111776447105787,0.22078403115775425,0.23903420523138832,0.2146689325392317
