model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M17,6ch,21,2,0.36966067864271457,0.3756012501442094,0.3553319919517103,0.3474630940588854
M18,62ch,21,2,0.4063872255489022,0.3958082709242909,0.4221327967806841,0.39631970022400664
M18,6ch,21,2,0.3648702594810379,0.35715230807620857,0.3843058350100604,0.37402492116773134
M19,62ch,21,2,0.5105788423153692,0.5096301194299024,0.5400402414486921,0.5476678998272834
M19,6ch,21,2,0.33532934131736525,0.3246101936878836,0.32595573440643866,0.32089239738279096
M20,62ch,21,2,0.4063872255489022,0.40419108378132307,0.4012072434607646,0.3987112364468306
M20,6ch,21,2,0.2842315369261477,0.29041913943742415,0.2945674044265594,0.30076330219588737
M11,62ch,21,3,0.38003992015968063,0.37650555314723455,0.3637826961770624,0.3384678687927296
M11,6ch,21,3,0.3588822355289421,0.2994325081801909,0.35372233400402414,0.3027731912664412
M12,62ch,21,3,0.2471057884231537,0.22079076559989974,0.2937625754527163,0.26954718485613954
M12,6ch,21,3,0.22355289421157684,0.2092430722955685,0.2857142857142857,0.28905607387602994
M13,62ch,21,3,0.3708582834331337,0.3044471451238053,0.3847082494969819,0.3666607952017856
M13,6ch,21,3,0.36207584830339323,0.3119383643938083,0.31911468812877264,0.27813931555686816
M14,62ch,21,3,0.2882235528942116,0.2961250492164979,0.32877263581488936,0.3335728453674479
M14,6ch,21,3,0.38163672654690617,0.31630875677791837,0.39959758551307845,0.34261378199358283
M15,62ch,21,3,0.2774451097804391,0.22116886910855174,0.27002012072434606,0.22242681835105205
M15,6ch,21,3,0.35169660678642717,0.34888480466128946,0.39114688128772634,0.3620909168583044
M16,62ch,21,3,0.3588822355289421,0.31916263265514,0.3243460764587525,0.26963124864676896
M16,6ch,21,3,0.39441117764471056,0.3817021672405517,0.4132796780684105,0.40387007409942366
M17,62ch,21,3,0.3413173652694611,0.2972742392198531,0.3215291750503018,0.30358555960358186
M17,6ch,21,3,0.3524950099800399,0.34370680580895374,0.34567404426559356,0.34306909447218553
M18,62ch,21,3,0.33013972055888224,0.2867185075721469,0.3235412474849095,0.2823250053694143
M18,6ch,21,3,0.38562874251497004,0.3627880805337987,0.386317907444668,0.3632033058966022
M19,62ch,21,3,0.3500998003992016,0.32875277300356887,0.3476861167002012,0.3122227926386268
M19,6ch,21,3,0.2626746506986028,0.25135310416779066,0.28490945674044266,0.26255751562992097
M20,62ch,21,3,0.35489021956087824,0.3494894014407234,0.3738430583501006,0.3672361950629435
M20,6ch,21,3,0.3269461077844311,0.3115960021310382,0.4056338028169014,0.3789913757541085
M11,62ch,21,4,0.5672654690618762,0.5599567159978597,0.5847082494969819,0.5758530404091868
M11,6ch,21,4,0.5305389221556887,0.5140087216883352,0.5569416498993964,0.5373393059026379
M12,62ch,21,4,0.42075848303393215,0.37868325948445686,0.44668008048289737,0.439197127321562
M12,6ch,21,4,0.4718562874251497,0.4484819179977848,0.4800804828973843,0.4696304767514783
M13,62ch,21,4,0.4846307385229541,0.4701098400657072,0.48772635814889337,0.4795930800601763
M13,6ch,21,4,0.43832335329341315,0.4179024967726295,0.4853118712273642,0.4639668969721143
